# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       1.084362572358e-25       6.650225259364e-09       1.503908313523e+22       1.425610462602e+04       1.425610462602e-10       1.425610462602e+18       3.838999119814e-09       1.336908504016e+44       2.451390603497e+33       1.339408137477e+34       3.454741400534e-08       9.248317113104e+43       2.261740215484e+44       2.261740215484e+44       7.539134051087e+43      -4.535266550478e+52       2.775100083055e-20       2.000000000000e+14 
       9.930486593843e+13       1.099596782137e-25       6.695699994452e-09       1.483072626198e+22       1.425610462602e+04       1.435589735840e-10       1.415700558691e+18       3.865872113652e-09       1.300121090980e+44       2.400623788821e+33       1.311669806183e+34       3.454741400534e-08       8.993833234436e+43       2.199504414578e+44       2.199504414578e+44       7.331681381411e+43      -4.379811949001e+52       3.871605251865e-08       1.433565615563e+02 
       9.861456399050e+13       1.115045017330e-25       6.742993718944e-09       1.462525603988e+22       1.425610462602e+04       1.445638863991e-10       1.405859541898e+18       3.892933218447e-09       1.264345948981e+44       2.350908324129e+33       1.284505918930e+34       3.454741400534e-08       8.746351931880e+43       2.138981142321e+44       2.138981142321e+44       7.129937140563e+43      -4.229685839874e+52       7.743210503727e-08       7.167828077819e+01 
       9.792906056653e+13       1.130710284778e-25       6.790287443437e-09       1.442263247623e+22       1.425610462602e+04       1.455758336039e-10       1.396086933364e+18       3.920183750976e-09       1.229555223583e+44       2.302222436600e+33       1.257904579330e+34       3.454741400534e-08       8.505680517113e+43       2.080123275443e+44       2.080123275443e+44       6.933744250981e+43      -4.084705579223e+52       1.161481575559e-07       4.778552051879e+01 
       9.724832231036e+13       1.146595633569e-25       6.837581167929e-09       1.422281613239e+22       1.425610462602e+04       1.465948644391e-10       1.386382257561e+18       3.947625037233e-09       1.195721826814e+44       2.254544804314e+33       1.231854137361e+34       3.454741400534e-08       8.271631603972e+43       2.022884987357e+44       2.022884987357e+44       6.742949957370e+43      -3.944694783627e+52       1.548642100745e-07       3.583914038909e+01 
       9.657231609767e+13       1.162704155625e-25       6.884874892421e-09       1.402576811613e+22       1.425610462602e+04       1.476210284902e-10       1.376745042265e+18       3.975258412493e-09       1.162819416075e+44       2.207854546917e+33       1.206343184268e+34       3.454741400534e-08       8.044022962556e+43       1.967221712473e+44       1.967221712473e+44       6.557405707769e+43      -3.809483115534e+52       1.935802625931e-07       2.867131231127e+01 
       9.590100903443e+13       1.179038986307e-25       6.933987606317e-09       1.383145007404e+22       1.425610462602e+04       1.486543756896e-10       1.367174818535e+18       4.003085221381e-09       1.130822373632e+44       2.162131216471e+33       1.181360547562e+34       3.454741400534e-08       7.822677377346e+43       1.913090111506e+44       1.913090111506e+44       6.376967037889e+43      -3.678906076022e+52       2.322963151117e-07       2.389276025939e+01 
       9.523436845525e+13       1.195603305026e-25       6.981281330809e-09       1.363982418408e+22       1.425610462602e+04       1.496949563194e-10       1.357671120691e+18       4.031106817930e-09       1.099705786667e+44       2.117354788506e+33       1.156895286131e+34       3.454741400534e-08       7.607422509221e+43       1.860448037726e+44       1.860448037726e+44       6.201493458632e+43      -3.552804804674e+52       2.710123676302e-07       2.047950879376e+01 
       9.457236192179e+13       1.212400335858e-25       7.030394044705e-09       1.345085314821e+22       1.425610462602e+04       1.507428210137e-10       1.348233486287e+18       4.059324565655e-09       1.069445427884e+44       2.073505653244e+33       1.132936685446e+34       3.454741400534e-08       7.398090761278e+43       1.809254504146e+44       1.809254504146e+44       6.030848346706e+43      -3.431025886304e+52       3.097284201488e-07       1.791957019454e+01 
       9.391495722124e+13       1.229433348177e-25       7.079506758600e-09       1.326450018511e+22       1.425610462602e+04       1.517980207608e-10       1.338861456094e+18       4.087739837615e-09       1.040017736642e+44       2.030564607016e+33       1.109474252871e+34       3.454741400534e-08       7.194519148340e+43       1.759469651607e+44       1.759469651607e+44       5.864898838254e+43      -3.313421164315e+52       3.484444726673e-07       1.592850683959e+01 
       9.326212236469e+13       1.246705657285e-25       7.130438461900e-09       1.308072902307e+22       1.425610462602e+04       1.528606069061e-10       1.329554574075e+18       4.116354016478e-09       1.011399800615e+44       1.988512843847e+33       1.086497713064e+34       3.454741400534e-08       6.996549170058e+43       1.711054717749e+44       1.711054717749e+44       5.703515725401e+43      -3.199847560450e+52       3.871605251859e-07       1.433565615563e+01 
       9.261382558559e+13       1.264220625064e-25       7.179551175795e-09       1.289950389288e+22       1.425610462602e+04       1.539306311544e-10       1.320312387364e+18       4.145168494593e-09       9.835693379480e+43       1.947331947224e+33       1.063997003481e+34       3.454741400534e-08       6.804026687501e+43       1.663972006824e+44       1.663972006824e+44       5.546573355660e+43      -3.090166900723e+52       4.258765777044e-07       1.303241468693e+01 
       9.197003533822e+13       1.281981660626e-25       7.230482879095e-09       1.272078952090e+22       1.425610462602e+04       1.550081455725e-10       1.311134446240e+18       4.174184674055e-09       9.565046799135e+43       1.907003882029e+33       1.041962269965e+34       3.454741400534e-08       6.616801803144e+43       1.618184860351e+44       1.618184860351e+44       5.393949534093e+43      -2.984245747313e+52       4.645926302230e-07       1.194638012969e+01 
       9.133072029615e+13       1.299992220976e-25       7.281414582394e-09       1.254455112219e+22       1.425610462602e+04       1.560932025915e-10       1.302020304111e+18       4.203403966773e-09       9.301847540360e+43       1.867510986638e+33       1.020383862434e+34       3.454741400534e-08       6.434728744159e+43       1.573657628573e+44       1.573657628573e+44       5.245525428173e+43      -2.881955236227e+52       5.033086827415e-07       1.102742781202e+01 
       9.069584935070e+13       1.318255811688e-25       7.332346285693e-09       1.237075439372e+22       1.425610462602e+04       1.571858550097e-10       1.292969517489e+18       4.232827794540e-09       9.045890676867e+43       1.828835965191e+33       9.992523306542e+33       3.454741400534e-08       6.257665748917e+43       1.530355642697e+44       1.530355642697e+44       5.101185475261e+43      -2.783170920523e+52       5.420247352600e-07       1.023975439687e+01 
       9.006539160943e+13       1.336775987587e-25       7.383277988993e-09       1.219936550770e+22       1.425610462602e+04       1.582861559947e-10       1.283981645967e+18       4.262457589101e-09       8.796976921283e+43       1.790961880015e+33       9.785584200989e+33       3.454741400534e-08       6.085474956612e+43       1.488245187905e+44       1.488245187905e+44       4.960817292631e+43      -2.687772618907e+52       5.807407877785e-07       9.557104103749e+00 
       8.943931639467e+13       1.355556353436e-25       7.434209692292e-09       1.203035110503e+22       1.425610462602e+04       1.593941590867e-10       1.275056252202e+18       4.292294792225e-09       8.554912469977e+43       1.753872144203e+33       9.582930678975e+33       3.454741400534e-08       5.918022299922e+43       1.447293477103e+44       1.447293477103e+44       4.824311589966e+43      -2.595644269518e+52       6.194568402970e-07       8.959785097264e+00 
       8.881759324197e+13       1.374600564645e-25       7.486960384995e-09       1.186367828876e+22       1.425610462602e+04       1.605099182003e-10       1.266192901889e+18       4.322340855770e-09       8.319508852172e+43       1.717550514356e+33       9.384473988662e+33       3.454741400534e-08       5.755177400627e+43       1.407468625391e+44       1.407468625391e+44       4.691562084266e+43      -2.506673788731e+52       6.581728928155e-07       8.432738915071e+00 
       8.820019189868e+13       1.393912327978e-25       7.539711077698e-09       1.169931461769e+22       1.425610462602e+04       1.616334876277e-10       1.257391163742e+18       4.352597241760e-09       8.090582783199e+43       1.681981083465e+33       9.190127216207e+33       3.454741400534e-08       5.596813468095e+43       1.368739625238e+44       1.368739625238e+44       4.562465417098e+43      -2.420752934792e+52       6.968889453340e-07       7.964253419789e+00 
       8.758708232243e+13       1.413495402274e-25       7.592461770400e-09       1.153722810012e+22       1.425610462602e+04       1.627649220411e-10       1.248650609476e+18       4.383065422452e-09       7.867956021792e+43       1.647148273944e+33       8.999805247701e+33       3.454741400534e-08       5.442807200562e+43       1.331076322342e+44       1.331076322342e+44       4.436921074118e+43      -2.337777176131e+52       7.356049978525e-07       7.545082187168e+00 
       8.697823467967e+13       1.433353599180e-25       7.645212463103e-09       1.137738718753e+22       1.425610462602e+04       1.639042764954e-10       1.239970813780e+18       4.413746880409e-09       7.651455231310e+43       1.613036830811e+33       8.813424731891e+33       3.454741400534e-08       5.293038689134e+43       1.294449392149e+44       1.294449392149e+44       4.314831306815e+43      -2.257645564194e+52       7.743210503710e-07       7.167828077809e+00 
       8.637361934426e+13       1.453490783895e-25       7.697963155806e-09       1.121976076849e+22       1.425610462602e+04       1.650516064308e-10       1.231351354299e+18       4.444643108571e-09       7.440911844777e+43       1.579631815005e+33       8.630904043679e+33       3.454741400534e-08       5.147391324421e+43       1.258830317022e+44       1.258830317022e+44       4.196101056399e+43      -2.180260610619e+52       8.130371028894e-07       6.826502931246e+00 
       8.577320689599e+13       1.473910875918e-25       7.752532837912e-09       1.106431816263e+22       1.425610462602e+04       1.662069676759e-10       1.222791811618e+18       4.475755610331e-09       7.236161933638e+43       1.546918596845e+33       8.452163248374e+33       3.454741400534e-08       5.005751705749e+43       1.224191364039e+44       1.224191364039e+44       4.080637879796e+43      -2.105528168640e+52       8.517531554079e-07       6.516207343462e+00 
       8.517696811915e+13       1.494617849813e-25       7.807102520019e-09       1.091102911460e+22       1.425610462602e+04       1.673704164496e-10       1.214291769233e+18       4.507085899603e-09       7.037046080124e+43       1.514882849619e+33       8.277124066682e+33       3.454741400534e-08       4.868009552863e+43       1.190505563397e+44       1.190505563397e+44       3.968351877662e+43      -2.033357318546e+52       8.904692079263e-07       6.232893980702e+00 
       8.458487400114e+13       1.515615735985e-25       7.861672202125e-09       1.075986378824e+22       1.425610462602e+04       1.685420093647e-10       1.205850813539e+18       4.538635500900e-09       6.843409253127e+43       1.483510543315e+33       8.105709840428e+33       3.454741400534e-08       4.734057620067e+43       1.157746687415e+44       1.157746687415e+44       3.859155624398e+43      -1.963660257062e+52       9.291852604448e-07       5.973190064839e+00 
       8.399689573103e+13       1.536908621460e-25       7.916241884232e-09       1.061079276075e+22       1.425610462602e+04       1.697218034303e-10       1.197468533802e+18       4.570405949406e-09       6.655100687498e+43       1.452787938474e+33       7.937845498980e+33       3.454741400534e-08       4.603791612721e+43       1.125889230116e+44       1.125889230116e+44       3.752964100073e+43      -1.896352190535e+52       9.679013129632e-07       5.734262462245e+00 
       8.341300469814e+13       1.558500650683e-25       7.970811566338e-09       1.046378701695e+22       1.425610462602e+04       1.709098560543e-10       1.189144522147e+18       4.602398791051e-09       6.471973766657e+43       1.422701580172e+33       7.773457526374e+33       3.454741400534e-08       4.477110106036e+43       1.094908387361e+44       1.094908387361e+44       3.649694624231e+43      -1.831351231769e+52       1.006617365482e-06       5.513713906005e+00 
       8.283317249070e+13       1.580396026324e-25       8.027200237848e-09       1.031881794366e+22       1.425610462602e+04       1.721062250467e-10       1.180878373532e+18       4.634615582588e-09       6.293885908441e+43       1.393238292127e+33       7.612473929116e+33       3.454741400534e-08       4.353914466108e+43       1.064780037545e+44       1.064780037545e+44       3.549266791516e+43      -1.768578300403e+52       1.045333418000e-06       5.309502279856e+00 
       8.225737089444e+13       1.602599010098e-25       8.083588909358e-09       1.017585732412e+22       1.425610462602e+04       1.733109686220e-10       1.172669685732e+18       4.667057891666e-09       6.120698454087e+43       1.364385170934e+33       7.454824204656e+33       3.454741400534e-08       4.234108773118e+43       1.035480722809e+44       1.035480722809e+44       3.451602409068e+43      -1.707957026700e+52       1.084049470519e-06       5.119877198433e+00 
       8.168557189120e+13       1.625113923591e-25       8.139977580868e-09       1.003487733248e+22       1.425610462602e+04       1.745241454024e-10       1.164518059317e+18       4.699727296907e-09       5.952276560275e+43       1.336129580404e+33       7.300439310506e+33       3.454741400534e-08       4.117599746653e+43       1.006987630779e+44       1.006987630779e+44       3.356625435643e+43      -1.649413658638e+52       1.122765523037e-06       4.943329708831e+00 
       8.111774765760e+13       1.647945149103e-25       8.196366252378e-09       9.895850528409e+21       1.425610462602e+04       1.757458144202e-10       1.156423097634e+18       4.732625387985e-09       5.788489094140e+43       1.308459146041e+33       7.149251634008e+33       3.454741400534e-08       4.004296673075e+43       9.792785768062e+43       9.792785768062e+43       3.264261922405e+43      -1.592876972179e+52       1.161481575555e-06       4.778552051870e+00 
       8.055387056366e+13       1.671097130503e-25       8.254573913291e-09       9.758749851745e+21       1.425610462602e+04       1.769760351211e-10       1.148384406786e+18       4.765753765700e-09       5.629208531170e+43       1.281361749615e+33       7.001194962722e+33       3.454741400534e-08       3.894111334895e+43       9.523319866893e+43       9.523319866893e+43       3.174439955355e+43      -1.538278184620e+52       1.200197628074e-06       4.624405211487e+00 
       7.999391317146e+13       1.694574374089e-25       8.312781574205e-09       9.623548617224e+21       1.425610462602e+04       1.782148673670e-10       1.140401595617e+18       4.799114042060e-09       5.474310855914e+43       1.254825523857e+33       6.856204455424e+33       3.454741400534e-08       3.786957942083e+43       9.261268798808e+43       9.261268798808e+43       3.087089599332e+43      -1.485550870913e+52       1.238913680592e-06       4.479892548628e+00 
       7.943784823382e+13       1.718381449470e-25       8.370989235118e-09       9.490220509292e+21       1.425610462602e+04       1.794623714385e-10       1.132474275687e+18       4.832707840353e-09       5.323675465430e+43       1.228838847262e+33       6.714216613718e+33       3.454741400534e-08       3.682753065275e+43       9.006428531499e+43       9.006428531499e+43       3.002142843568e+43      -1.434630882851e+52       1.277629733111e-06       4.344138228973e+00 
       7.888564869297e+13       1.742522990454e-25       8.429196896031e-09       9.358739576978e+21       1.425610462602e+04       1.807186080386e-10       1.124602061258e+18       4.866536795235e-09       5.177185075379e+43       1.203390339001e+33       6.575169254216e+33       3.454741400534e-08       3.581415570813e+43       8.758600646970e+43       8.758600646970e+43       2.919533548731e+43      -1.385456271022e+52       1.316345785629e-06       4.216369457532e+00 
       7.833728767921e+13       1.767003695946e-25       8.487404556945e-09       9.229080228846e+21       1.425610462602e+04       1.819836382949e-10       1.116784569273e+18       4.900602552802e-09       5.034725628709e+43       1.178468853932e+33       6.439001481313e+33       3.454741400534e-08       3.482866557578e+43       8.517592187048e+43       8.517592187048e+43       2.839197395429e+43      -1.337967209447e+52       1.355061838147e-06       4.095901758745e+00 
       7.779273850965e+13       1.791828330871e-25       8.547431207262e-09       9.101217228013e+21       1.425610462602e+04       1.832575237629e-10       1.109021419338e+18       4.934906770671e-09       4.896186206849e+43       1.154063477724e+33       6.305653660515e+33       3.454741400534e-08       3.387029295553e+43       8.283215503147e+43       8.283215503147e+43       2.761071834134e+43      -1.292105922790e+52       1.393777890666e-06       3.982126709891e+00 
       7.725197468684e+13       1.817001727091e-25       8.607457857579e-09       8.975125687236e+21       1.425610462602e+04       1.845403264293e-10       1.101312233702e+18       4.969451118065e-09       4.761458943352e+43       1.130163522077e+33       6.175067392321e+33       3.454741400534e-08       3.293829166085e+43       8.055288110168e+43       8.055288110168e+43       2.685096036479e+43      -1.247816616074e+52       1.432493943184e-06       3.874501663678e+00 
       7.671496989755e+13       1.842528784354e-25       8.667484507896e-09       8.850781064069e+21       1.425610462602e+04       1.858321087143e-10       1.093656637241e+18       5.004237275891e-09       4.630438939906e+43       1.106758520036e+33       6.047185486651e+33       3.454741400534e-08       3.203193603787e+43       7.833632544409e+43       7.833632544409e+43       2.611210847898e+43      -1.205045406795e+52       1.471209995703e-06       3.772541093581e+00 
       7.618169801147e+13       1.868414471246e-25       8.727511158213e-09       8.728159156088e+21       1.425610462602e+04       1.871329334753e-10       1.086054257439e+18       5.039266936821e-09       4.503024184664e+43       1.083838221411e+33       5.921951937792e+33       3.454741400534e-08       3.115052040036e+43       7.618076225401e+43       7.618076225401e+43       2.539358741567e+43      -1.163740259371e+52       1.509926048221e-06       3.675809270669e+00 
       7.565213307991e+13       1.894663826152e-25       8.789356797934e-09       8.607236096176e+21       1.425610462602e+04       1.884428640096e-10       1.078504724368e+18       5.074541805378e-09       4.379115472816e+43       1.061392588289e+33       5.799311899882e+33       3.454741400534e-08       3.029335848030e+43       7.408451321531e+43       7.408451321531e+43       2.469483773615e+43      -1.123850921836e+52       1.548642100739e-06       3.583914038902e+00 
       7.512624933457e+13       1.921281958245e-25       8.851202437654e-09       8.487988347879e+21       1.425610462602e+04       1.897619640577e-10       1.071007670674e+18       5.110063598015e-09       4.258616329346e+43       1.039411790634e+33       5.679211662877e+33       3.454741400534e-08       2.945978289355e+43       7.204594619373e+43       7.204594619373e+43       2.401531539567e+43      -1.085328864702e+52       1.587358153258e-06       3.496501501368e+00 
       7.460402118627e+13       1.948274048476e-25       8.913048077375e-09       8.370392700828e+21       1.425610462601e+04       1.910902978061e-10       1.063562731553e+18       5.145834043201e-09       4.141432933924e+43       1.017886201986e+33       5.561598629041e+33       3.454741400534e-08       2.864914462025e+43       7.006347396608e+43       7.006347396608e+43       2.335449131983e+43      -1.048127221920e+52       1.626074205776e-06       3.413251465621e+00 
       7.408542322370e+13       1.975645350583e-25       8.974893717095e-09       8.254426266217e+21       1.425610462601e+04       1.924279298907e-10       1.056169544740e+18       5.181854881503e-09       4.027474047850e+43       9.968063952408e+32       5.446421289900e+33       3.454741400534e-08       2.786081249946e+43       6.813555298441e+43       6.813555298441e+43       2.271185099265e+43      -1.012200733859e+52       1.664790258295e-06       3.333873524560e+00 
       7.357043021222e+13       2.003401192113e-25       9.038558346219e-09       8.140066472349e+21       1.425610462601e+04       1.937749254000e-10       1.048827750486e+18       5.218127865673e-09       3.916650943019e+43       9.761631385264e+32       5.333629203695e+33       3.454741400534e-08       2.709417273776e+43       6.626068217427e+43       6.626068217427e+43       2.208689405599e+43      -9.775056922454e+51       1.703506310813e-06       3.258103671730e+00 
       7.305901709257e+13       2.031546975461e-25       9.102222975343e-09       8.027291060247e+21       1.425610462601e+04       1.951313498777e-10       1.041536991545e+18       5.254654760732e-09       3.808877332839e+43       9.559473911557e+32       5.223172973281e+33       3.454741400534e-08       2.634862843134e+43       6.443740176592e+43       6.443740176592e+43       2.147913391991e+43      -9.439998869883e+51       1.742222363331e-06       3.185701367913e+00 
       7.255115897971e+13       2.060088178919e-25       9.165887604468e-09       7.916078079313e+21       1.425610462601e+04       1.964972693269e-10       1.034296913153e+18       5.291437344056e-09       3.704069305046e+43       9.361502996690e+32       5.115004224499e+33       3.454741400534e-08       2.562359910127e+43       6.266429215778e+43       6.266429215778e+43       2.088809738391e+43      -9.116425548243e+51       1.780938415850e-06       3.116446990350e+00 
       7.204683116158e+13       2.089030357744e-25       9.229552233592e-09       7.806405883065e+21       1.425610462601e+04       1.978727502122e-10       1.027107163012e+18       5.328477405464e-09       3.602145256370e+43       9.167631939567e+32       5.009075584990e+33       3.454741400534e-08       2.491852024152e+43       6.093997281114e+43       6.093997281114e+43       2.031332426841e+43      -8.803943297262e+51       1.819654468368e-06       3.050139607577e+00 
       7.154600909789e+13       2.118379145240e-25       9.293216862716e-09       7.698253124915e+21       1.425610462601e+04       1.992578594637e-10       1.019967391273e+18       5.365776747301e-09       3.503025829002e+43       8.977775834615e+32       4.905340663448e+33       3.454741400534e-08       2.423284287945e+43       5.926310117527e+43       5.926310117527e+43       1.975436705649e+43      -8.502171950094e+51       1.858370520886e-06       2.986595032419e+00 
       7.104866841896e+13       2.148140253851e-25       9.358700481243e-09       7.591598754023e+21       1.425610462601e+04       2.006526644799e-10       1.012877250520e+18       5.403337184532e-09       3.406633848803e+43       8.791851534607e+32       4.803754029303e+33       3.454741400534e-08       2.356603314837e+43       5.763237164208e+43       5.763237164208e+43       1.921079054546e+43      -8.210744370816e+51       1.897086573405e-06       2.925644113390e+00 
       7.055478492449e+13       2.178319476277e-25       9.424184099771e-09       7.486422011190e+21       1.425610462601e+04       2.020572331313e-10       1.005836395749e+18       5.441160544823e-09       3.312894265218e+43       8.609777614245e+32       4.704271192823e+33       3.454741400534e-08       2.291757187189e+43       5.604651452963e+43       5.604651452963e+43       1.868217150802e+43      -7.929306007759e+51       1.935802625923e-06       2.867131231123e+00 
       7.006433458241e+13       2.208922686599e-25       9.489667718299e-09       7.382702424826e+21       1.425610462601e+04       2.034716337632e-10       9.988444843590e+17       5.479248668636e-09       3.221734092840e+43       8.431474334498e+32       4.606848585634e+33       3.454741400534e-08       2.228695415968e+43       5.450429509353e+43       5.450429509353e+43       1.816809836269e+43      -7.657514462168e+51       1.974518678442e-06       2.810912971689e+00 
       6.957729352772e+13       2.239955841423e-25       9.556970326230e-09       7.280419806961e+21       1.425610462601e+04       2.048959351995e-10       9.919011761261e+17       5.517603409315e-09       3.133082354588e+43       8.256863607682e+32       4.511443541634e+33       3.454741400534e-08       2.167368901437e+43       5.300451256559e+43       5.300451256559e+43       1.766817085342e+43      -7.395039071632e+51       2.013234730960e-06       2.756856953003e+00 
       6.909363806129e+13       2.271424981039e-25       9.624272934161e-09       7.179554249315e+21       1.425610462601e+04       2.063302067459e-10       9.850061331937e+17       5.556226633180e-09       3.046870026439e+43       8.085868963263e+32       4.418014278311e+33       3.454741400534e-08       2.107729894924e+43       5.154599921885e+43       5.154599921885e+43       1.718199973788e+43      -7.141560507806e+51       2.051950783478e-06       2.704840784079e+00 
       6.861334464875e+13       2.303336230597e-25       9.691575542092e-09       7.080086119425e+21       1.425610462601e+04       2.077745181931e-10       9.781590200533e+17       5.595120219611e-09       2.963029983689e+43       7.918415514364e+32       4.326519878446e+33       3.454741400534e-08       2.049731961647e+43       5.012761945848e+43       5.012761945848e+43       1.670920648445e+43      -6.896770387907e+51       2.090666835997e-06       2.654751139929e+00 
       6.813638991931e+13       2.335695801300e-25       9.758878150024e-09       6.981996056826e+21       1.425610462601e+04       2.092289398205e-10       9.713595035286e+17       5.634286061148e-09       2.881496948690e+43       7.754429924971e+32       4.236920272186e+33       3.454741400534e-08       1.993329944561e+43       4.874826893753e+43       4.874826893753e+43       1.624942297751e+43      -6.660370899543e+51       2.129382888515e-06       2.606482937385e+00 
       6.766275066466e+13       2.368509991612e-25       9.827999747358e-09       6.885264969275e+21       1.425610462601e+04       2.106935423992e-10       9.646072527593e+17       5.673726063575e-09       2.802207440025e+43       7.593840377814e+32       4.149176219505e+33       3.454741400534e-08       1.938479929196e+43       4.740687369712e+43       4.740687369712e+43       1.580229123074e+43      -6.432074438387e+51       2.168098941034e-06       2.559938599218e+00 
       6.719240383780e+13       2.401785188484e-25       9.895302355289e-09       6.789874029043e+21       1.425610462601e+04       2.121683971960e-10       9.579019391850e+17       5.713442146019e-09       2.725099723081e+43       7.436576542915e+32       4.063249293011e+33       3.454741400534e-08       1.885139209466e+43       4.610238933028e+43       4.610238933028e+43       1.536746310849e+43      -6.211603258279e+51       2.206814993552e-06       2.515027395723e+00 
       6.672532655193e+13       2.435527868597e-25       9.964423952624e-09       6.695804669247e+21       1.425610462601e+04       2.136535759764e-10       9.512432365293e+17       5.753436241040e-09       2.650113761980e+43       7.282569546788e+32       3.979101861122e+33       3.454741400534e-08       1.833266254420e+43       4.483380016872e+43       4.483380016872e+43       1.494460005467e+43      -5.998689133321e+51       2.245531046070e-06       2.471664854418e+00 
       6.626149607938e+13       2.469744599622e-25       1.003536453936e-08       6.603038580236e+21       1.425610462601e+04       2.151491510082e-10       9.446308207838e+17       5.793710294727e-09       2.577191172842e+43       7.131751942274e+32       3.896697071582e+33       3.454741400534e-08       1.782820675906e+43       4.360011849209e+43       4.360011849209e+43       1.453337282916e+43      -5.793073031549e+51       2.284247098589e-06       2.429772229767e+00 
       6.580088985042e+13       2.504442041502e-25       1.010448613670e-08       6.511557706027e+21       1.425610462601e+04       2.166551950653e-10       9.380643701925e+17       5.834266266789e-09       2.506275178319e+43       6.984057679004e+32       3.815998835324e+33       3.454741400534e-08       1.733763197121e+43       4.240038375891e+43       4.240038375891e+43       1.413346125147e+43      -5.594504799799e+51       2.322963151107e-06       2.389276025938e+00 
       6.534348545226e+13       2.539626947742e-25       1.017542672344e-08       6.421344240790e+21       1.425610462601e+04       2.181717814308e-10       9.315435652358e+17       5.875106130656e-09       2.437310563396e+43       6.839422074473e+32       3.736971810662e+33       3.454741400534e-08       1.686055622034e+43       4.123366185873e+43       4.123366185873e+43       1.374455395144e+43      -5.402742859364e+51       2.361679203626e-06       2.350107566496e+00 
       6.488926062786e+13       2.575306166731e-25       1.024636731017e-08       6.332380625386e+21       1.425610462601e+04       2.196989839008e-10       9.250680886155e+17       5.916231873569e-09       2.370243632396e+43       6.697781785712e+32       3.659581387818e+33       3.454741400534e-08       1.639660805648e+43       4.009904438477e+43       4.009904438477e+43       1.336634812681e+43      -5.217553912091e+51       2.400395256144e-06       2.312202605747e+00 
       6.443819327494e+13       2.611486643067e-25       1.031912688632e-08       6.244649543946e+21       1.425610462601e+04       2.212368767881e-10       9.186376252388e+17       5.957645496683e-09       2.305022167173e+43       6.559074781544e+32       3.583793673757e+33       3.454741400534e-08       1.594542625073e+43       3.899564792670e+43       3.899564792670e+43       1.299854930749e+43      -5.038712656553e+51       2.439111308662e-06       2.275500977084e+00 
